original_split,data
train,/imgs/bj/t1/L81_00839_784263.jpg /imgs/bj/t3/L81_00839_784263.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00839_784263.png /building_labels/bj/t1/L81_00839_784263.png /building_labels/bj/t3/L81_00839_784263.png /offset_st_resize256/bj/t1/L81_00839_784263.tif /offset_st_resize256/bj/t3/L81_00839_784263.tif /flow_btv3_resize256/bj/t1VSt3/L81_00839_784263.tif
train,/imgs/bj/t1/L81_00663_784135.jpg /imgs/bj/t3/L81_00663_784135.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00663_784135.png /building_labels/bj/t1/L81_00663_784135.png /building_labels/bj/t3/L81_00663_784135.png /offset_st_resize256/bj/t1/L81_00663_784135.tif /offset_st_resize256/bj/t3/L81_00663_784135.tif /flow_btv3_resize256/bj/t1VSt3/L81_00663_784135.tif
train,/imgs/bj/t1/L81_00655_784159.jpg /imgs/bj/t2/L81_00655_784159.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00655_784159.png /building_labels/bj/t1/L81_00655_784159.png /building_labels/bj/t2/L81_00655_784159.png /offset_st_resize256/bj/t1/L81_00655_784159.tif /offset_st_resize256/bj/t2/L81_00655_784159.tif /flow_btv3_resize256/bj/t1VSt2/L81_00655_784159.tif
train,/imgs/sh/t2/L81_892927_780479.jpg /imgs/sh/t3/L81_892927_780479.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892927_780479.png /building_labels/sh/t2/L81_892927_780479.png /building_labels/sh/t3/L81_892927_780479.png /offset_st_resize256/sh/t2/L81_892927_780479.tif /offset_st_resize256/sh/t3/L81_892927_780479.tif /flow_btv3_resize256/sh/t2VSt3/L81_892927_780479.tif
train,/imgs/sh/t2/L81_892863_780479.jpg /imgs/sh/t3/L81_892863_780479.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892863_780479.png /building_labels/sh/t2/L81_892863_780479.png /building_labels/sh/t3/L81_892863_780479.png /offset_st_resize256/sh/t2/L81_892863_780479.tif /offset_st_resize256/sh/t3/L81_892863_780479.tif /flow_btv3_resize256/sh/t2VSt3/L81_892863_780479.tif
val,/imgs/sh/t2/L81_892823_780471.jpg /imgs/sh/t3/L81_892823_780471.jpg /labels/sh/t2VSt3/L81_892823_780471.png /building_labels/sh/t2/L81_892823_780471.png /building_labels/sh/t3/L81_892823_780471.png /offset_st_resize256/sh/t2/L81_892823_780471.tif /offset_st_resize256/sh/t3/L81_892823_780471.tif /flow_btv3_resize256/sh/t2VSt3/L81_892823_780471.tif
train,/imgs/sh/t2/L81_892879_780519.jpg /imgs/sh/t3/L81_892879_780519.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892879_780519.png /building_labels/sh/t2/L81_892879_780519.png /building_labels/sh/t3/L81_892879_780519.png /offset_st_resize256/sh/t2/L81_892879_780519.tif /offset_st_resize256/sh/t3/L81_892879_780519.tif /flow_btv3_resize256/sh/t2VSt3/L81_892879_780519.tif
train,/imgs/sh/t1/L81_892919_780527.jpg /imgs/sh/t2/L81_892919_780527.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892919_780527.png /building_labels/sh/t1/L81_892919_780527.png /building_labels/sh/t2/L81_892919_780527.png /offset_st_resize256/sh/t1/L81_892919_780527.tif /offset_st_resize256/sh/t2/L81_892919_780527.tif /flow_btv3_resize256/sh/t1VSt2/L81_892919_780527.tif
train,/imgs/sh/t1/L81_892887_780447.jpg /imgs/sh/t3/L81_892887_780447.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892887_780447.png /building_labels/sh/t1/L81_892887_780447.png /building_labels/sh/t3/L81_892887_780447.png /offset_st_resize256/sh/t1/L81_892887_780447.tif /offset_st_resize256/sh/t3/L81_892887_780447.tif /flow_btv3_resize256/sh/t1VSt3/L81_892887_780447.tif
test,/imgs/bj/t2/L81_00887_784127.jpg /imgs/bj/t3/L81_00887_784127.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00887_784127.png /building_labels/bj/t2/L81_00887_784127.png /building_labels/bj/t3/L81_00887_784127.png
train,/imgs/sh/t2/L81_892799_780439.jpg /imgs/sh/t3/L81_892799_780439.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892799_780439.png /building_labels/sh/t2/L81_892799_780439.png /building_labels/sh/t3/L81_892799_780439.png /offset_st_resize256/sh/t2/L81_892799_780439.tif /offset_st_resize256/sh/t3/L81_892799_780439.tif /flow_btv3_resize256/sh/t2VSt3/L81_892799_780439.tif
train,/imgs/bj/t2/L81_00967_784335.jpg /imgs/bj/t3/L81_00967_784335.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00967_784335.png /building_labels/bj/t2/L81_00967_784335.png /building_labels/bj/t3/L81_00967_784335.png /offset_st_resize256/bj/t2/L81_00967_784335.tif /offset_st_resize256/bj/t3/L81_00967_784335.tif /flow_btv3_resize256/bj/t2VSt3/L81_00967_784335.tif
train,/imgs/sh/t1/L81_892911_780439.jpg /imgs/sh/t2/L81_892911_780439.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892911_780439.png /building_labels/sh/t1/L81_892911_780439.png /building_labels/sh/t2/L81_892911_780439.png /offset_st_resize256/sh/t1/L81_892911_780439.tif /offset_st_resize256/sh/t2/L81_892911_780439.tif /flow_btv3_resize256/sh/t1VSt2/L81_892911_780439.tif
test,/imgs/bj/t2/L81_00871_783975.jpg /imgs/bj/t3/L81_00871_783975.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00871_783975.png /building_labels/bj/t2/L81_00871_783975.png /building_labels/bj/t3/L81_00871_783975.png
train,/imgs/bj/t1/L81_00655_784159.jpg /imgs/bj/t3/L81_00655_784159.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00655_784159.png /building_labels/bj/t1/L81_00655_784159.png /building_labels/bj/t3/L81_00655_784159.png /offset_st_resize256/bj/t1/L81_00655_784159.tif /offset_st_resize256/bj/t3/L81_00655_784159.tif /flow_btv3_resize256/bj/t1VSt3/L81_00655_784159.tif
train,/imgs/sh/t1/L81_892791_780511.jpg /imgs/sh/t2/L81_892791_780511.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892791_780511.png /building_labels/sh/t1/L81_892791_780511.png /building_labels/sh/t2/L81_892791_780511.png /offset_st_resize256/sh/t1/L81_892791_780511.tif /offset_st_resize256/sh/t2/L81_892791_780511.tif /flow_btv3_resize256/sh/t1VSt2/L81_892791_780511.tif
train,/imgs/sh/t2/L81_892863_780455.jpg /imgs/sh/t3/L81_892863_780455.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892863_780455.png /building_labels/sh/t2/L81_892863_780455.png /building_labels/sh/t3/L81_892863_780455.png /offset_st_resize256/sh/t2/L81_892863_780455.tif /offset_st_resize256/sh/t3/L81_892863_780455.tif /flow_btv3_resize256/sh/t2VSt3/L81_892863_780455.tif
train,/imgs/bj/t1/L81_00679_784183.jpg /imgs/bj/t2/L81_00679_784183.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00679_784183.png /building_labels/bj/t1/L81_00679_784183.png /building_labels/bj/t2/L81_00679_784183.png /offset_st_resize256/bj/t1/L81_00679_784183.tif /offset_st_resize256/bj/t2/L81_00679_784183.tif /flow_btv3_resize256/bj/t1VSt2/L81_00679_784183.tif
train,/imgs/sh/t1/L81_892927_780439.jpg /imgs/sh/t2/L81_892927_780439.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892927_780439.png /building_labels/sh/t1/L81_892927_780439.png /building_labels/sh/t2/L81_892927_780439.png /offset_st_resize256/sh/t1/L81_892927_780439.tif /offset_st_resize256/sh/t2/L81_892927_780439.tif /flow_btv3_resize256/sh/t1VSt2/L81_892927_780439.tif
test,/imgs/sh/t2/L81_892807_780463.jpg /imgs/sh/t3/L81_892807_780463.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892807_780463.png /building_labels/sh/t2/L81_892807_780463.png /building_labels/sh/t3/L81_892807_780463.png
train,/imgs/sh/t1/L81_892791_780423.jpg /imgs/sh/t3/L81_892791_780423.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892791_780423.png /building_labels/sh/t1/L81_892791_780423.png /building_labels/sh/t3/L81_892791_780423.png /offset_st_resize256/sh/t1/L81_892791_780423.tif /offset_st_resize256/sh/t3/L81_892791_780423.tif /flow_btv3_resize256/sh/t1VSt3/L81_892791_780423.tif
val,/imgs/sh/t2/L81_892815_780439.jpg /imgs/sh/t3/L81_892815_780439.jpg /labels/sh/t2VSt3/L81_892815_780439.png /building_labels/sh/t2/L81_892815_780439.png /building_labels/sh/t3/L81_892815_780439.png /offset_st_resize256/sh/t2/L81_892815_780439.tif /offset_st_resize256/sh/t3/L81_892815_780439.tif /flow_btv3_resize256/sh/t2VSt3/L81_892815_780439.tif
train,/imgs/bj/t1/L81_00847_784103.jpg /imgs/bj/t2/L81_00847_784103.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00847_784103.png /building_labels/bj/t1/L81_00847_784103.png /building_labels/bj/t2/L81_00847_784103.png /offset_st_resize256/bj/t1/L81_00847_784103.tif /offset_st_resize256/bj/t2/L81_00847_784103.tif /flow_btv3_resize256/bj/t1VSt2/L81_00847_784103.tif
test,/imgs/bj/t1/L81_00815_784271.jpg /imgs/bj/t3/L81_00815_784271.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00815_784271.png /building_labels/bj/t1/L81_00815_784271.png /building_labels/bj/t3/L81_00815_784271.png
val,/imgs/bj/t2/L81_00639_784095.jpg /imgs/bj/t3/L81_00639_784095.jpg /labels/bj/t2VSt3/L81_00639_784095.png /building_labels/bj/t2/L81_00639_784095.png /building_labels/bj/t3/L81_00639_784095.png /offset_st_resize256/bj/t2/L81_00639_784095.tif /offset_st_resize256/bj/t3/L81_00639_784095.tif /flow_btv3_resize256/bj/t2VSt3/L81_00639_784095.tif
train,/imgs/bj/t2/L81_00663_784023.jpg /imgs/bj/t3/L81_00663_784023.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00663_784023.png /building_labels/bj/t2/L81_00663_784023.png /building_labels/bj/t3/L81_00663_784023.png /offset_st_resize256/bj/t2/L81_00663_784023.tif /offset_st_resize256/bj/t3/L81_00663_784023.tif /flow_btv3_resize256/bj/t2VSt3/L81_00663_784023.tif
val,/imgs/sh/t1/L81_892919_780519.jpg /imgs/sh/t2/L81_892919_780519.jpg /labels/sh/t1VSt2/L81_892919_780519.png /building_labels/sh/t1/L81_892919_780519.png /building_labels/sh/t2/L81_892919_780519.png /offset_st_resize256/sh/t1/L81_892919_780519.tif /offset_st_resize256/sh/t2/L81_892919_780519.tif /flow_btv3_resize256/sh/t1VSt2/L81_892919_780519.tif
train,/imgs/sh/t2/L81_892871_780511.jpg /imgs/sh/t3/L81_892871_780511.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892871_780511.png /building_labels/sh/t2/L81_892871_780511.png /building_labels/sh/t3/L81_892871_780511.png /offset_st_resize256/sh/t2/L81_892871_780511.tif /offset_st_resize256/sh/t3/L81_892871_780511.tif /flow_btv3_resize256/sh/t2VSt3/L81_892871_780511.tif
val,/imgs/bj/t1/L81_00847_784079.jpg /imgs/bj/t3/L81_00847_784079.jpg /labels/bj/t1VSt3/L81_00847_784079.png /building_labels/bj/t1/L81_00847_784079.png /building_labels/bj/t3/L81_00847_784079.png /offset_st_resize256/bj/t1/L81_00847_784079.tif /offset_st_resize256/bj/t3/L81_00847_784079.tif /flow_btv3_resize256/bj/t1VSt3/L81_00847_784079.tif
train,/imgs/bj/t1/L81_00711_784167.jpg /imgs/bj/t2/L81_00711_784167.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00711_784167.png /building_labels/bj/t1/L81_00711_784167.png /building_labels/bj/t2/L81_00711_784167.png /offset_st_resize256/bj/t1/L81_00711_784167.tif /offset_st_resize256/bj/t2/L81_00711_784167.tif /flow_btv3_resize256/bj/t1VSt2/L81_00711_784167.tif
train,/imgs/bj/t1/L81_00639_784159.jpg /imgs/bj/t2/L81_00639_784159.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00639_784159.png /building_labels/bj/t1/L81_00639_784159.png /building_labels/bj/t2/L81_00639_784159.png /offset_st_resize256/bj/t1/L81_00639_784159.tif /offset_st_resize256/bj/t2/L81_00639_784159.tif /flow_btv3_resize256/bj/t1VSt2/L81_00639_784159.tif
train,/imgs/bj/t1/L81_00663_784119.jpg /imgs/bj/t2/L81_00663_784119.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00663_784119.png /building_labels/bj/t1/L81_00663_784119.png /building_labels/bj/t2/L81_00663_784119.png /offset_st_resize256/bj/t1/L81_00663_784119.tif /offset_st_resize256/bj/t2/L81_00663_784119.tif /flow_btv3_resize256/bj/t1VSt2/L81_00663_784119.tif
train,/imgs/bj/t2/L81_00847_784263.jpg /imgs/bj/t3/L81_00847_784263.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00847_784263.png /building_labels/bj/t2/L81_00847_784263.png /building_labels/bj/t3/L81_00847_784263.png /offset_st_resize256/bj/t2/L81_00847_784263.tif /offset_st_resize256/bj/t3/L81_00847_784263.tif /flow_btv3_resize256/bj/t2VSt3/L81_00847_784263.tif
train,/imgs/sh/t1/L81_892879_780503.jpg /imgs/sh/t2/L81_892879_780503.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892879_780503.png /building_labels/sh/t1/L81_892879_780503.png /building_labels/sh/t2/L81_892879_780503.png /offset_st_resize256/sh/t1/L81_892879_780503.tif /offset_st_resize256/sh/t2/L81_892879_780503.tif /flow_btv3_resize256/sh/t1VSt2/L81_892879_780503.tif
train,/imgs/bj/t1/L81_00687_784175.jpg /imgs/bj/t3/L81_00687_784175.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00687_784175.png /building_labels/bj/t1/L81_00687_784175.png /building_labels/bj/t3/L81_00687_784175.png /offset_st_resize256/bj/t1/L81_00687_784175.tif /offset_st_resize256/bj/t3/L81_00687_784175.tif /flow_btv3_resize256/bj/t1VSt3/L81_00687_784175.tif
train,/imgs/sh/t2/L81_892919_780455.jpg /imgs/sh/t3/L81_892919_780455.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892919_780455.png /building_labels/sh/t2/L81_892919_780455.png /building_labels/sh/t3/L81_892919_780455.png /offset_st_resize256/sh/t2/L81_892919_780455.tif /offset_st_resize256/sh/t3/L81_892919_780455.tif /flow_btv3_resize256/sh/t2VSt3/L81_892919_780455.tif
train,/imgs/bj/t1/L81_00639_783967.jpg /imgs/bj/t2/L81_00639_783967.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00639_783967.png /building_labels/bj/t1/L81_00639_783967.png /building_labels/bj/t2/L81_00639_783967.png /offset_st_resize256/bj/t1/L81_00639_783967.tif /offset_st_resize256/bj/t2/L81_00639_783967.tif /flow_btv3_resize256/bj/t1VSt2/L81_00639_783967.tif
train,/imgs/bj/t1/L81_00863_784135.jpg /imgs/bj/t2/L81_00863_784135.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00863_784135.png /building_labels/bj/t1/L81_00863_784135.png /building_labels/bj/t2/L81_00863_784135.png /offset_st_resize256/bj/t1/L81_00863_784135.tif /offset_st_resize256/bj/t2/L81_00863_784135.tif /flow_btv3_resize256/bj/t1VSt2/L81_00863_784135.tif
val,/imgs/sh/t1/L81_892927_780503.jpg /imgs/sh/t3/L81_892927_780503.jpg /labels/sh/t1VSt3/L81_892927_780503.png /building_labels/sh/t1/L81_892927_780503.png /building_labels/sh/t3/L81_892927_780503.png /offset_st_resize256/sh/t1/L81_892927_780503.tif /offset_st_resize256/sh/t3/L81_892927_780503.tif /flow_btv3_resize256/sh/t1VSt3/L81_892927_780503.tif
train,/imgs/bj/t2/L81_00671_784199.jpg /imgs/bj/t3/L81_00671_784199.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00671_784199.png /building_labels/bj/t2/L81_00671_784199.png /building_labels/bj/t3/L81_00671_784199.png /offset_st_resize256/bj/t2/L81_00671_784199.tif /offset_st_resize256/bj/t3/L81_00671_784199.tif /flow_btv3_resize256/bj/t2VSt3/L81_00671_784199.tif
train,/imgs/bj/t1/L81_00663_784079.jpg /imgs/bj/t3/L81_00663_784079.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00663_784079.png /building_labels/bj/t1/L81_00663_784079.png /building_labels/bj/t3/L81_00663_784079.png /offset_st_resize256/bj/t1/L81_00663_784079.tif /offset_st_resize256/bj/t3/L81_00663_784079.tif /flow_btv3_resize256/bj/t1VSt3/L81_00663_784079.tif
train,/imgs/bj/t1/L81_00911_784271.jpg /imgs/bj/t3/L81_00911_784271.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00911_784271.png /building_labels/bj/t1/L81_00911_784271.png /building_labels/bj/t3/L81_00911_784271.png /offset_st_resize256/bj/t1/L81_00911_784271.tif /offset_st_resize256/bj/t3/L81_00911_784271.tif /flow_btv3_resize256/bj/t1VSt3/L81_00911_784271.tif
val,/imgs/sh/t1/L81_892831_780447.jpg /imgs/sh/t2/L81_892831_780447.jpg /labels/sh/t1VSt2/L81_892831_780447.png /building_labels/sh/t1/L81_892831_780447.png /building_labels/sh/t2/L81_892831_780447.png /offset_st_resize256/sh/t1/L81_892831_780447.tif /offset_st_resize256/sh/t2/L81_892831_780447.tif /flow_btv3_resize256/sh/t1VSt2/L81_892831_780447.tif
train,/imgs/sh/t1/L81_892887_780511.jpg /imgs/sh/t2/L81_892887_780511.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892887_780511.png /building_labels/sh/t1/L81_892887_780511.png /building_labels/sh/t2/L81_892887_780511.png /offset_st_resize256/sh/t1/L81_892887_780511.tif /offset_st_resize256/sh/t2/L81_892887_780511.tif /flow_btv3_resize256/sh/t1VSt2/L81_892887_780511.tif
train,/imgs/bj/t1/L81_00831_784215.jpg /imgs/bj/t2/L81_00831_784215.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00831_784215.png /building_labels/bj/t1/L81_00831_784215.png /building_labels/bj/t2/L81_00831_784215.png /offset_st_resize256/bj/t1/L81_00831_784215.tif /offset_st_resize256/bj/t2/L81_00831_784215.tif /flow_btv3_resize256/bj/t1VSt2/L81_00831_784215.tif
train,/imgs/bj/t2/L81_00815_784215.jpg /imgs/bj/t3/L81_00815_784215.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00815_784215.png /building_labels/bj/t2/L81_00815_784215.png /building_labels/bj/t3/L81_00815_784215.png /offset_st_resize256/bj/t2/L81_00815_784215.tif /offset_st_resize256/bj/t3/L81_00815_784215.tif /flow_btv3_resize256/bj/t2VSt3/L81_00815_784215.tif
train,/imgs/bj/t2/L81_00639_783983.jpg /imgs/bj/t3/L81_00639_783983.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00639_783983.png /building_labels/bj/t2/L81_00639_783983.png /building_labels/bj/t3/L81_00639_783983.png /offset_st_resize256/bj/t2/L81_00639_783983.tif /offset_st_resize256/bj/t3/L81_00639_783983.tif /flow_btv3_resize256/bj/t2VSt3/L81_00639_783983.tif
test,/imgs/sh/t2/L81_892815_780423.jpg /imgs/sh/t3/L81_892815_780423.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892815_780423.png /building_labels/sh/t2/L81_892815_780423.png /building_labels/sh/t3/L81_892815_780423.png
train,/imgs/sh/t2/L81_892927_780439.jpg /imgs/sh/t3/L81_892927_780439.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892927_780439.png /building_labels/sh/t2/L81_892927_780439.png /building_labels/sh/t3/L81_892927_780439.png /offset_st_resize256/sh/t2/L81_892927_780439.tif /offset_st_resize256/sh/t3/L81_892927_780439.tif /flow_btv3_resize256/sh/t2VSt3/L81_892927_780439.tif
train,/imgs/sh/t2/L81_892831_780511.jpg /imgs/sh/t3/L81_892831_780511.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892831_780511.png /building_labels/sh/t2/L81_892831_780511.png /building_labels/sh/t3/L81_892831_780511.png /offset_st_resize256/sh/t2/L81_892831_780511.tif /offset_st_resize256/sh/t3/L81_892831_780511.tif /flow_btv3_resize256/sh/t2VSt3/L81_892831_780511.tif
train,/imgs/bj/t2/L81_00687_784279.jpg /imgs/bj/t3/L81_00687_784279.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00687_784279.png /building_labels/bj/t2/L81_00687_784279.png /building_labels/bj/t3/L81_00687_784279.png /offset_st_resize256/bj/t2/L81_00687_784279.tif /offset_st_resize256/bj/t3/L81_00687_784279.tif /flow_btv3_resize256/bj/t2VSt3/L81_00687_784279.tif
test,/imgs/bj/t1/L81_00839_784247.jpg /imgs/bj/t2/L81_00839_784247.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00839_784247.png /building_labels/bj/t1/L81_00839_784247.png /building_labels/bj/t2/L81_00839_784247.png
train,/imgs/bj/t1/L81_00679_784335.jpg /imgs/bj/t2/L81_00679_784335.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00679_784335.png /building_labels/bj/t1/L81_00679_784335.png /building_labels/bj/t2/L81_00679_784335.png /offset_st_resize256/bj/t1/L81_00679_784335.tif /offset_st_resize256/bj/t2/L81_00679_784335.tif /flow_btv3_resize256/bj/t1VSt2/L81_00679_784335.tif
train,/imgs/bj/t1/L81_00711_784071.jpg /imgs/bj/t2/L81_00711_784071.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00711_784071.png /building_labels/bj/t1/L81_00711_784071.png /building_labels/bj/t2/L81_00711_784071.png /offset_st_resize256/bj/t1/L81_00711_784071.tif /offset_st_resize256/bj/t2/L81_00711_784071.tif /flow_btv3_resize256/bj/t1VSt2/L81_00711_784071.tif
train,/imgs/sh/t2/L81_892903_780455.jpg /imgs/sh/t3/L81_892903_780455.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892903_780455.png /building_labels/sh/t2/L81_892903_780455.png /building_labels/sh/t3/L81_892903_780455.png /offset_st_resize256/sh/t2/L81_892903_780455.tif /offset_st_resize256/sh/t3/L81_892903_780455.tif /flow_btv3_resize256/sh/t2VSt3/L81_892903_780455.tif
train,/imgs/bj/t1/L81_00687_783991.jpg /imgs/bj/t2/L81_00687_783991.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00687_783991.png /building_labels/bj/t1/L81_00687_783991.png /building_labels/bj/t2/L81_00687_783991.png /offset_st_resize256/bj/t1/L81_00687_783991.tif /offset_st_resize256/bj/t2/L81_00687_783991.tif /flow_btv3_resize256/bj/t1VSt2/L81_00687_783991.tif
test,/imgs/bj/t2/L81_00855_784191.jpg /imgs/bj/t3/L81_00855_784191.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00855_784191.png /building_labels/bj/t2/L81_00855_784191.png /building_labels/bj/t3/L81_00855_784191.png
train,/imgs/bj/t2/L81_00655_784279.jpg /imgs/bj/t3/L81_00655_784279.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00655_784279.png /building_labels/bj/t2/L81_00655_784279.png /building_labels/bj/t3/L81_00655_784279.png /offset_st_resize256/bj/t2/L81_00655_784279.tif /offset_st_resize256/bj/t3/L81_00655_784279.tif /flow_btv3_resize256/bj/t2VSt3/L81_00655_784279.tif
train,/imgs/sh/t1/L81_892855_780447.jpg /imgs/sh/t3/L81_892855_780447.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892855_780447.png /building_labels/sh/t1/L81_892855_780447.png /building_labels/sh/t3/L81_892855_780447.png /offset_st_resize256/sh/t1/L81_892855_780447.tif /offset_st_resize256/sh/t3/L81_892855_780447.tif /flow_btv3_resize256/sh/t1VSt3/L81_892855_780447.tif
